DFHG Author,LOFTS urn
CORNELIUS ALEXANDER POLYHISTOR,urn:lofts:fhg.3.cornelius_alexander_polyhistor
ALEXANDER EPHESIUS,urn:lofts:fhg.3.alexander_ephesius
POSIDONIUS APAMENSIS,urn:lofts:fhg.3.posidonius_apamensis
LUCIUS LUCULLUS,urn:lofts:fhg.3.lucius_lucullus
MARCUS TULLIUS CICERO,urn:lofts:fhg.3.marcus_tullius_cicero
TITUS POMPONIUS ATTICUS,urn:lofts:fhg.3.titus_pomponius_atticus
ASCLEPIADES MYRLEANUS,urn:lofts:fhg.3.asclepiades_myrleanus
ASCLEPIADES TRAGILENSIS,urn:lofts:fhg.3.asclepiades_tragilensis
ASCLEPIADES CYPRIUS,urn:lofts:fhg.3.asclepiades_cyprius
ASCLEPIADES AREI FILIUS,urn:lofts:fhg.3.asclepiades_arei_filius
ASCLEPIADES MENDESIUS,urn:lofts:fhg.3.asclepiades_mendesius
ASCLEPIADES ANAZARBENSIS,urn:lofts:fhg.3.asclepiades_anazarbensis
ARISTODEMUS NYSAENSIS,urn:lofts:fhg.3.aristodemus_nysaensis
ARISTODEMUS ELEUS,urn:lofts:fhg.3.aristodemus_eleus
ARISTODEMUS THEBANUS,urn:lofts:fhg.3.aristodemus_thebanus
ARTAVASDES ARMENIAE REX,urn:lofts:fhg.3.artavasdes_armeniae_rex
THEOPHANES MYTILENAEUS,urn:lofts:fhg.3.theophanes_mytilenaeus
TIMAGENES ALEXANDRINUS,urn:lofts:fhg.3.timagenes_alexandrinus
ARISTO ALEXANDRINUS,urn:lofts:fhg.3.aristo_alexandrinus
SOCRATES RHODIUS,urn:lofts:fhg.3.socrates_rhodius
OLYMPUS,urn:lofts:fhg.3.olympus
EMPYLUS RHODIUS,urn:lofts:fhg.3.empylus_rhodius
CAECILIUS CALACTINUS,urn:lofts:fhg.3.caecilius_calactinus
LYSIMACHUS ALEXANDRINUS,urn:lofts:fhg.3.lysimachus_alexandrinus
NICOLAUS DAMASCENUS,urn:lofts:fhg.3.nicolaus_damascenus
JUBA MAURITANUS,urn:lofts:fhg.3.juba_mauritanus
ATHENODORUS TARSENSIS,urn:lofts:fhg.3.athenodorus_tarsensis
DIONYSIUS PERGAMENUS,urn:lofts:fhg.3.dionysius_pergamenus
DIODORUS SARDIANUS,urn:lofts:fhg.3.diodorus_sardianus
THEODORUS GADARENUS,urn:lofts:fhg.3.theodorus_gadarenus
STRABO AMASENSIS,urn:lofts:fhg.3.strabo_amasensis
CHAEREMON ALEXANDRINUS,urn:lofts:fhg.3.chaeremon_alexandrinus
SELEUCUS ALEXANDRINUS,urn:lofts:fhg.3.seleucus_alexandrinus
THRASYLLUS MENDESIUS,urn:lofts:fhg.3.thrasyllus_mendesius
POTAMO MYTILENAEUS,urn:lofts:fhg.3.potamo_mytilenaeus
APION OASITA,urn:lofts:fhg.3.apion_oasita
THALLUS,urn:lofts:fhg.3.thallus
PAMPHILA EPIDAURIA,urn:lofts:fhg.3.pamphila_epidauria
CLAUDIUS CAESAR,urn:lofts:fhg.3.claudius_caesar
POLYAENUS SARDIANUS,urn:lofts:fhg.3.polyaenus_sardianus
JUSTUS TIBERIENSIS,urn:lofts:fhg.3.justus_tiberiensis
HERMOGENES TARSENSIS,urn:lofts:fhg.3.hermogenes_tarsensis
MEMNON,urn:lofts:fhg.3.memnon
PHILO BYBLIUS,urn:lofts:fhg.3.philo_byblius
ASPASIUS BYBLIUS,urn:lofts:fhg.3.aspasius_byblius
FAVORINUS ARELATENSIS,urn:lofts:fhg.3.favorinus_arelatensis
HADRIANUS CAESAR,urn:lofts:fhg.3.hadrianus_caesar
ARRIANUS NICOMEDENSIS,urn:lofts:fhg.3.arrianus_nicomedensis
PHLEGON TRALLIANUS,urn:lofts:fhg.3.phlegon_trallianus
CEPHALION,urn:lofts:fhg.3.cephalion
NICANOR ALEXANDRINUS,urn:lofts:fhg.3.nicanor_alexandrinus
TELEPHUS PERGAMENUS,urn:lofts:fhg.3.telephus_pergamenus
PALLAS,urn:lofts:fhg.3.pallas
CHARAX PERGAMENUS,urn:lofts:fhg.3.charax_pergamenus
ANONYMUS MILESIUS,urn:lofts:fhg.3.anonymus_milesius
CREPEREIUS CALPURNIANUS POMPEIOPOLITANUS,urn:lofts:fhg.3.crepereius_calpurnianus_pompeiopolitanus
CALLIMORPHUS MEDICUS,urn:lofts:fhg.3.callimorphus_medicus
ANONYMI,urn:lofts:fhg.3.anonymi
ANONYMUS CORINTHIUS,urn:lofts:fhg.3.anonymus_corinthius
ANTIOCHIANUS,urn:lofts:fhg.3.antiochianus
ANONYMUS,urn:lofts:fhg.3.anonymus
DEMETRIUS SAGALASSENSIS,urn:lofts:fhg.3.demetrius_sagalassensis
DAMOPHILUS,urn:lofts:fhg.3.damophilus
CHRYSEROS NOMENCLATOR,urn:lofts:fhg.3.chryseros_nomenclator
ATHENAEUS NAUCRATITA,urn:lofts:fhg.3.athenaeus_naucratita
JUDAS,urn:lofts:fhg.3.judas
SEVERUS IMPERATOR,urn:lofts:fhg.3.severus_imperator
ASINIUS QUADRATUS,urn:lofts:fhg.3.asinius_quadratus
NICAGORAS ATHENIENSIS,urn:lofts:fhg.3.nicagoras_atheniensis
LUPERCUS BERYTIUS,urn:lofts:fhg.3.lupercus_berytius
CALLINICUS PETRAEUS,urn:lofts:fhg.3.callinicus_petraeus
EPHORUS CUMANUS,urn:lofts:fhg.3.ephorus_cumanus
NICOSTRATUS TRAPEZUNTIUS,urn:lofts:fhg.3.nicostratus_trapezuntius
NICOMACHUS,urn:lofts:fhg.3.nicomachus
CALLICRATES TYRIUS,urn:lofts:fhg.3.callicrates_tyrius
THEOCLES,urn:lofts:fhg.3.theocles
